timestamp,service,cpu_percent,mem_used_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1778959432423178100,bench_apache,8.13,165884723,2147483648,7.72,122000000,745000000,0,36800000,28
1778959432423178100,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959432423178100,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959432423178100,bench_pgbouncer,0.51,2249195,33651068764,0.01,624000000,606000000,0,8190,1
1778959432423178100,bench_postgres,1.04,74333552,4294967296,1.73,325000000,311000000,532000,1510000000,8
1778959435825751181,bench_apache,3.91,165570150,2147483648,7.71,122000000,745000000,0,36800000,28
1778959435825751181,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959435825751181,bench_django,0.05,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959435825751181,bench_pgbouncer,0.21,2380267,33651068764,0.01,624000000,606000000,0,8190,1
1778959435825751181,bench_postgres,0.34,74564239,4294967296,1.74,325000000,311000000,532000,1510000000,8
1778959439214359592,bench_apache,10.97,166304153,2147483648,7.74,123000000,745000000,0,36800000,28
1778959439214359592,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959439214359592,bench_django,0.04,133064294,2147483648,6.20,75900000,419000000,0,0,9
1778959439214359592,bench_pgbouncer,0.47,2335178,33651068764,0.01,624000000,606000000,0,8190,1
1778959439214359592,bench_postgres,5.24,79094087,4294967296,1.84,325000000,311000000,532000,1510000000,10
1778959442618083893,bench_apache,7.14,165989580,2147483648,7.73,123000000,746000000,0,36800000,28
1778959442618083893,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959442618083893,bench_django,0.03,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959442618083893,bench_pgbouncer,0.40,2080374,33651068764,0.01,624000000,606000000,0,8190,1
1778959442618083893,bench_postgres,0.80,78716600,4294967296,1.83,325000000,311000000,532000,1510000000,10
1778959446024115082,bench_apache,7.75,167667302,2147483648,7.81,123000000,746000000,0,36800000,29
1778959446024115082,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959446024115082,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959446024115082,bench_pgbouncer,0.55,2441084,33651068764,0.01,624000000,606000000,0,8190,1
1778959446024115082,bench_postgres,4.99,78307655,4294967296,1.82,325000000,311000000,532000,1510000000,10
1778959449444013159,bench_apache,6.38,167877017,2147483648,7.82,123000000,746000000,0,36800000,29
1778959449444013159,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959449444013159,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959449444013159,bench_pgbouncer,0.27,2310012,33651068764,0.01,624000000,606000000,0,8190,1
1778959449444013159,bench_postgres,0.76,78265712,4294967296,1.82,325000000,311000000,532000,1510000000,10
1778959452827955361,bench_apache,10.24,168086732,2147483648,7.83,123000000,747000000,0,36800000,29
1778959452827955361,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959452827955361,bench_django,0.04,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959452827955361,bench_pgbouncer,0.70,2359296,33651068764,0.01,625000000,606000000,0,8190,1
1778959452827955361,bench_postgres,1.25,78590771,4294967296,1.83,325000000,311000000,532000,1510000000,10
1778959456237941104,bench_apache,0.01,165779865,2147483648,7.72,123000000,747000000,0,36800000,28
1778959456237941104,bench_nginx,0.02,192413696,2147483648,8.96,69500000,425000000,0,12300,19
1778959456237941104,bench_django,0.05,132854579,2147483648,6.19,75900000,419000000,0,0,9
1778959456237941104,bench_pgbouncer,0.01,2335178,33651068764,0.01,625000000,606000000,0,8190,1
1778959456237941104,bench_postgres,1.64,78695628,4294967296,1.83,325000000,311000000,532000,1510000000,10
